timestamp,datetime,side,price,size,usdcSize,title,outcome,asset,conditionId,transactionHash,trader
1767347561,2026-01-02 09:52:41,BUY,0.19000002430009647,1.234563,0.234567,"XRP Up or Down - January 2, 4:45AM-5:00AM ET","Down",109876616718818391275529389500968033562562870156475463563766291569255331497423,0xb15b21f91054a4439f8508d12c76c9210d97910b650edaa102dfe16635103123,0xde0323b2011589a41c51b02f473191fafc92bd2c214f2f013bb1cc59308a578a,PurpleThunderBicycleMountain
1767347561,2026-01-02 09:52:41,BUY,0.01,36.8686,0.368686,"XRP Up or Down - January 2, 4AM ET","Down",68418971580631615033338566446798522456834656303120206222412457819630396420585,0x8f6ea156a86cfcedd53808f7871c0c073161b96bd3b7b335fab96bfcb6f4770b,0x7efcfdeeab0d7e7d8987034294299f506ecb89e9c523c9ab140078182e8b3b15,PurpleThunderBicycleMountain
1767347561,2026-01-02 09:52:41,BUY,0.19,8,1.52,"XRP Up or Down - January 2, 4:45AM-5:00AM ET","Down",109876616718818391275529389500968033562562870156475463563766291569255331497423,0xb15b21f91054a4439f8508d12c76c9210d97910b650edaa102dfe16635103123,0xdbf0c7146e4cd17975d1fde2d4f0217d9aa53528a052e65538818dd9274fbfc7,PurpleThunderBicycleMountain
1767347561,2026-01-02 09:52:41,BUY,0.09000000085312505,35.164833,3.164835,"Solana Up or Down - January 2, 4:45AM-5:00AM ET","Down",11590064891491972532477422264929275909574300450848867396272098266679862026987,0xe2320b6ee69e5aacac53f56d3e99aaf65824540ec89d5c78b2f8ea88eda98a23,0x366b42b28eacfd278d5c6281496b7f1e5be69aa81afdc9a6e6a689bb5f981435,PurpleThunderBicycleMountain
1767347559,2026-01-02 09:52:39,BUY,0.04,1.04165,0.041666,"Ethereum Up or Down - January 2, 4AM ET","Down",61209364967560625082103990331601144499394784733094169942037200072812632625237,0x55ad64cba705cadb918f1c0bbeb6e17cf9c942ef9152fcf04f79c85ee48443f7,0x3686023897ae69cc2477215857f027ecb22a1cf191aada2fe5af37a6706c7631,PurpleThunderBicycleMountain
1767347559,2026-01-02 09:52:39,BUY,0.41000015340011353,1.694914,0.694915,"Ethereum Up or Down - January 2, 4:45AM-5:00AM ET","Up",95318881557509220308090308090003400258031728362984514623102975942766797946555,0xd31bfaaced7e2dfd38917140b21484fab90523cf111ca5ba78db96bd63b7260d,0xecfab3419dac53d6bd90c4124cc52f684283875978483a17eadd995ff0ec7cad,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.18000001640001606,1.219511,0.219512,"XRP Up or Down - January 2, 4:45AM-5:00AM ET","Down",109876616718818391275529389500968033562562870156475463563766291569255331497423,0xb15b21f91054a4439f8508d12c76c9210d97910b650edaa102dfe16635103123,0x9f8da9719d7789471f4ca1c6e9881cc0059ee3cc603b15adfb4bcb7367c6a9ac,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.09,4.3956,0.395604,"Bitcoin Up or Down - January 2, 4AM ET","Down",71951386699908534538648930406357776756628976283553305016487744617732643078668,0xd5abf522341093dc479495989c1f15c74d484e00bb7ecb2f5fc716ebd4a2aa2e,0xf920ace5123621aabdc83b6dc1004295f813319c6e46e518c24e3403146a98e1,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.1800000017972603,44.512194,8.012195,"XRP Up or Down - January 2, 4:45AM-5:00AM ET","Down",109876616718818391275529389500968033562562870156475463563766291569255331497423,0xb15b21f91054a4439f8508d12c76c9210d97910b650edaa102dfe16635103123,0xa1cf6d24aa72f5753f43df87d9bba13aeeba4a8fe3765a3b7fda71b5fb31fc9b,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.19000011129811945,1.617278,0.307283,"XRP Up or Down - January 2, 4:45AM-5:00AM ET","Down",109876616718818391275529389500968033562562870156475463563766291569255331497423,0xb15b21f91054a4439f8508d12c76c9210d97910b650edaa102dfe16635103123,0x46e44337b78bba4434f1fa7bb648f061ad9251cf647ca9b2f2e36463cab6c218,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.1,122.5,12.25,"Solana Up or Down - January 2, 4:45AM-5:00AM ET","Down",11590064891491972532477422264929275909574300450848867396272098266679862026987,0xe2320b6ee69e5aacac53f56d3e99aaf65824540ec89d5c78b2f8ea88eda98a23,0x6191fea953bf312710ebdfa1c762d218fd727336bce1d0995121bf460e56c220,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.01,1.3232,0.013232,"XRP Up or Down - January 2, 4AM ET","Down",68418971580631615033338566446798522456834656303120206222412457819630396420585,0x8f6ea156a86cfcedd53808f7871c0c073161b96bd3b7b335fab96bfcb6f4770b,0xf4b8762f3bf07aa4d22b714d65ba3de067baeb25435b54911ec5e1ee049bca60,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.09,109.8901,9.890109,"Bitcoin Up or Down - January 2, 4AM ET","Down",71951386699908534538648930406357776756628976283553305016487744617732643078668,0xd5abf522341093dc479495989c1f15c74d484e00bb7ecb2f5fc716ebd4a2aa2e,0x03551c70179b841d9789d5440ffd423e0fb9b5a7984dc892e04c2d0bc84cf93c,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.04,48.05,1.922,"Ethereum Up or Down - January 2, 4AM ET","Down",61209364967560625082103990331601144499394784733094169942037200072812632625237,0x55ad64cba705cadb918f1c0bbeb6e17cf9c942ef9152fcf04f79c85ee48443f7,0xacc94a7af1f133d7356e6ba2c3846ee44ef4624a73920505bed329cbe1d58d57,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.04,38.020825,1.520833,"Ethereum Up or Down - January 2, 4AM ET","Down",61209364967560625082103990331601144499394784733094169942037200072812632625237,0x55ad64cba705cadb918f1c0bbeb6e17cf9c942ef9152fcf04f79c85ee48443f7,0xbecb23eea976042f7d51161fac54857562ded2850de08a923229842fed3362cd,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.01,1.0101,0.010101,"XRP Up or Down - January 2, 4AM ET","Down",68418971580631615033338566446798522456834656303120206222412457819630396420585,0x8f6ea156a86cfcedd53808f7871c0c073161b96bd3b7b335fab96bfcb6f4770b,0xf8e04f2677795dffdb3e3b2b9430366fa1a6187e52d92fc58b5cc4aa69049776,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.09,20.65,1.8585,"Bitcoin Up or Down - January 2, 4AM ET","Down",71951386699908534538648930406357776756628976283553305016487744617732643078668,0xd5abf522341093dc479495989c1f15c74d484e00bb7ecb2f5fc716ebd4a2aa2e,0x26b1e1d80f0d76600f7aabdb4e937ce73c3206ff5423971563e2fcb98d71494e,PurpleThunderBicycleMountain
1767347557,2026-01-02 09:52:37,BUY,0.0800000020780989,19.248362,1.539869,"Bitcoin Up or Down - January 2, 4AM ET","Down",71951386699908534538648930406357776756628976283553305016487744617732643078668,0xd5abf522341093dc479495989c1f15c74d484e00bb7ecb2f5fc716ebd4a2aa2e,0x26b1e1d80f0d76600f7aabdb4e937ce73c3206ff5423971563e2fcb98d71494e,PurpleThunderBicycleMountain
1767347555,2026-01-02 09:52:35,BUY,0.09,3.83,0.3447,"Bitcoin Up or Down - January 2, 4AM ET","Down",71951386699908534538648930406357776756628976283553305016487744617732643078668,0xd5abf522341093dc479495989c1f15c74d484e00bb7ecb2f5fc716ebd4a2aa2e,0xd4862bb97435175044b613df274a3c222b7a465af2b1c7c999c4a0b5159827c6,PurpleThunderBicycleMountain
1767347555,2026-01-02 09:52:35,BUY,0.05,18.41,0.9205,"Ethereum Up or Down - January 2, 4AM ET","Down",61209364967560625082103990331601144499394784733094169942037200072812632625237,0x55ad64cba705cadb918f1c0bbeb6e17cf9c942ef9152fcf04f79c85ee48443f7,0x127029029c4b2000b80c279cf3b93bd1a56b3ec1fe408273b05441c0f59f2149,PurpleThunderBicycleMountain
1767347555,2026-01-02 09:52:35,BUY,0.1,60,6,"Bitcoin Up or Down - January 2, 4AM ET","Down",71951386699908534538648930406357776756628976283553305016487744617732643078668,0xd5abf522341093dc479495989c1f15c74d484e00bb7ecb2f5fc716ebd4a2aa2e,0x091a0fb4ecb5bd657b15b2e493a5e662875e066ef5aaa173c3e0e2b319e4e1a6,PurpleThunderBicycleMountain
1767347555,2026-01-02 09:52:35,BUY,0.43,4,1.72,"Ethereum Up or Down - January 2, 4:45AM-5:00AM ET","Up",95318881557509220308090308090003400258031728362984514623102975942766797946555,0xd31bfaaced7e2dfd38917140b21484fab90523cf111ca5ba78db96bd63b7260d,0xf88abdf6dcc0562ca522730b82f6065b8146c39f8ea6d2d4b44af1fbea259ff6,PurpleThunderBicycleMountain
